Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
59,MALE,Iv,H,0.0,0.0,23,1.0
59,MALE,U,H,6.0,0.0,1,1.0
60,FEMALE,H,R,7.625,6.675,8,1.0
60,FEMALE,I,Is,0.0,0.0,3,1.0
60,FEMALE,Is,H,9.667,2.082,3,1.0
60,FEMALE,Iv,H,0.0,0.0,9,1.0
60,MALE,H,R,7.481,5.416,27,0.964
60,MALE,H,U,0.0,0.0,1,0.036
60,MALE,I,Is,0.0,0.0,11,1.0
60,MALE,Is,H,6.636,6.153,11,1.0
60,MALE,Iv,H,0.0,0.0,30,1.0
60,MALE,U,H,8.0,0.0,1,1.0
61,FEMALE,H,R,6.0,2.91,18,1.0
61,FEMALE,I,Is,0.0,0.0,1,1.0
61,FEMALE,Is,H,10.0,0.0,1,1.0
61,FEMALE,Iv,H,0.0,0.0,20,1.0
61,MALE,H,D,8.0,6.083,3,0.115
61,MALE,H,R,8.2,6.11,20,0.769
61,MALE,H,U,1.333,1.528,3,0.115
61,MALE,I,Is,0.0,0.0,2,1.0
61,MALE,Is,H,6.0,1.414,2,1.0
61,MALE,Iv,H,0.0,0.0,27,1.0
61,MALE,U,H,11.0,14.142,2,1.0
62,FEMALE,H,R,7.25,4.595,12,0.857
62,FEMALE,H,U,21.5,17.678,2,0.143
62,FEMALE,I,Is,0.0,0.0,4,1.0
62,FEMALE,Is,H,5.25,5.123,4,1.0
62,FEMALE,Iv,H,0.0,0.0,13,1.0
62,FEMALE,U,H,5.5,6.364,2,1.0
62,MALE,H,D,16.0,10.817,3,0.088
62,MALE,H,R,8.0,4.363,28,0.824
62,MALE,H,U,3.333,4.163,3,0.088
62,MALE,I,Is,0.0,0.0,2,1.0
62,MALE,Is,H,7.5,6.364,2,1.0
62,MALE,Iv,H,0.0,0.0,36,1.0
62,MALE,U,H,1.0,0.0,2,1.0
63,FEMALE,H,R,6.389,3.632,18,0.857
63,FEMALE,H,U,1.0,1.0,3,0.143
63,FEMALE,I,Is,0.0,0.0,1,0.5
63,FEMALE,I,Iv,14.0,0.0,1,0.5
63,FEMALE,Is,H,10.0,0.0,1,1.0
63,FEMALE,Iv,H,0.0,0.0,20,1.0
63,FEMALE,U,D,14.0,0.0,1,0.5
63,FEMALE,U,H,11.0,0.0,1,0.5
63,MALE,H,D,4.0,5.657,2,0.057
63,MALE,H,R,6.556,4.635,27,0.771
63,MALE,H,U,6.667,8.959,6,0.171
63,MALE,I,Is,0.0,0.0,2,1.0
63,MALE,Is,H,3.5,4.95,2,1.0
63,MALE,Iv,H,0.0,0.0,39,1.0
63,MALE,U,H,6.75,9.069,4,1.0
64,FEMALE,H,D,9.0,0.0,1,0.059
64,FEMALE,H,R,5.933,3.845,15,0.882
64,FEMALE,H,U,0.0,0.0,1,0.059
64,FEMALE,I,Iv,10.0,0.0,1,1.0
64,FEMALE,Iv,H,0.0,0.0,17,1.0
64,FEMALE,U,H,1.0,0.0,1,1.0
64,MALE,H,D,19.0,24.042,2,0.051
64,MALE,H,R,8.148,4.905,27,0.692
64,MALE,H,U,5.4,7.691,10,0.256
64,MALE,I,Iv,1.0,0.0,1,1.0
64,MALE,Iv,H,0.143,0.926,42,1.0
64,MALE,U,D,1.0,0.0,2,0.286
64,MALE,U,H,15.2,13.882,5,0.714
65,FEMALE,H,D,3.0,0.0,1,0.062
65,FEMALE,H,R,7.143,3.92,14,0.875
65,FEMALE,H,U,2.0,0.0,1,0.062
65,FEMALE,I,Is,0.0,0.0,1,1.0
65,FEMALE,Is,H,8.0,0.0,1,1.0
65,FEMALE,Iv,H,0.0,0.0,18,1.0
65,FEMALE,U,H,31.0,0.0,1,1.0
65,MALE,H,D,18.0,15.1,3,0.103
65,MALE,H,R,9.273,5.625,22,0.759
65,MALE,H,U,0.75,1.5,4,0.138
65,MALE,I,Is,0.0,0.0,2,1.0
65,MALE,Is,H,5.0,1.414,2,1.0
65,MALE,Iv,H,0.0,0.0,33,1.0
65,MALE,U,H,3.667,5.508,3,1.0
66,FEMALE,H,D,5.5,0.707,2,0.1
66,FEMALE,H,R,6.786,3.446,14,0.7
66,FEMALE,H,U,4.75,8.221,4,0.2
66,FEMALE,I,Is,0.0,0.0,2,1.0
66,FEMALE,Is,H,7.0,4.243,2,1.0
66,FEMALE,Iv,H,0.0,0.0,20,1.0
66,FEMALE,U,H,2.667,2.517,3,1.0
66,MALE,H,D,14.333,13.051,3,0.103
66,MALE,H,R,7.708,3.641,24,0.828
66,MALE,H,U,4.5,6.364,2,0.069
66,MALE,I,Is,0.0,0.0,4,0.8
66,MALE,I,Iv,1.0,0.0,1,0.2
66,MALE,Is,H,4.25,4.646,4,1.0
66,MALE,Iv,H,0.226,1.257,31,1.0
66,MALE,U,H,7.5,7.778,2,1.0
67,FEMALE,H,D,51.0,0.0,1,0.062
67,FEMALE,H,R,6.667,3.725,12,0.75
67,FEMALE,H,U,4.0,4.0,3,0.188
67,FEMALE,I,Is,0.0,0.0,2,1.0
67,FEMALE,Is,H,9.5,3.536,2,1.0
67,FEMALE,Iv,H,0.0,0.0,18,1.0
67,FEMALE,U,H,12.0,14.0,3,1.0
67,MALE,H,D,12.75,12.42,4,0.125
67,MALE,H,R,8.808,4.883,26,0.812
67,MALE,H,U,3.0,0.0,2,0.062
67,MALE,I,Is,0.0,0.0,1,1.0
67,MALE,Is,H,5.0,0.0,1,1.0
67,MALE,Iv,H,0.0,0.0,34,1.0
67,MALE,U,H,6.0,0.0,1,1.0
68,FEMALE,H,R,9.5,4.567,18,0.947
68,FEMALE,H,U,9.0,0.0,1,0.053
68,FEMALE,Iv,H,0.0,0.0,22,1.0
68,FEMALE,U,H,5.0,0.0,1,1.0
68,MALE,H,D,1.0,0.0,1,0.034
68,MALE,H,R,9.25,5.087,20,0.69
68,MALE,H,U,3.625,3.739,8,0.276
68,MALE,I,Is,0.0,0.0,1,1.0
68,MALE,Is,H,2.0,0.0,1,1.0
